# i   j          x          y        u_x        u_y        |u|
#-------------------------------------------------------------
  8  56  4.000e-01  2.800e+00 -1.096e-11 -2.296e-11  2.544e-11
  8  60  4.000e-01  3.000e+00 -9.998e-12 -1.750e-11  2.015e-11
  8  64  4.000e-01  3.200e+00 -8.897e-12 -1.260e-11  1.542e-11
  8  68  4.000e-01  3.400e+00 -7.709e-12 -8.311e-12  1.134e-11
  8  72  4.000e-01  3.600e+00 -6.480e-12 -4.676e-12  7.991e-12
  8  76  4.000e-01  3.800e+00 -5.256e-12 -1.694e-12  5.523e-12
  8  80  4.000e-01  4.000e+00 -4.073e-12  6.501e-13  4.124e-12
  8  84  4.000e-01  4.200e+00 -2.959e-12  2.390e-12  3.803e-12
  8  88  4.000e-01  4.400e+00 -1.936e-12  3.572e-12  4.063e-12
  8  92  4.000e-01  4.600e+00 -1.020e-12  4.250e-12  4.371e-12
  8  96  4.000e-01  4.800e+00 -2.204e-13  4.486e-12  4.491e-12
  8 100  4.000e-01  5.000e+00  4.587e-13  4.341e-12  4.365e-12
  8 104  4.000e-01  5.200e+00  1.015e-12  3.881e-12  4.011e-12
  8 108  4.000e-01  5.400e+00  1.450e-12  3.167e-12  3.483e-12
  8 112  4.000e-01  5.600e+00  1.763e-12  2.265e-12  2.870e-12
  8 116  4.000e-01  5.800e+00  1.957e-12  1.235e-12  2.314e-12
  8 120  4.000e-01  6.000e+00  2.032e-12  0.000e+00  2.032e-12

 12   0  6.000e-01  0.000e+00 -0.000e+00 -9.077e-11  9.077e-11
 12   4  6.000e-01  2.000e-01 -2.742e-12 -9.025e-11  9.029e-11
 12   8  6.000e-01  4.000e-01 -5.441e-12 -8.880e-11  8.897e-11
 12  12  6.000e-01  6.000e-01 -8.054e-12 -8.641e-11  8.678e-11
 12  16  6.000e-01  8.000e-01 -1.053e-11 -8.310e-11  8.376e-11
 12  20  6.000e-01  1.000e+00 -1.282e-11 -7.893e-11  7.996e-11
 12  24  6.000e-01  1.200e+00 -1.485e-11 -7.397e-11  7.544e-11
 12  28  6.000e-01  1.400e+00 -1.657e-11 -6.831e-11  7.029e-11
 12  32  6.000e-01  1.600e+00 -1.791e-11 -6.209e-11  6.462e-11
 12  36  6.000e-01  1.800e+00 -1.884e-11 -5.544e-11  5.856e-11
 12  40  6.000e-01  2.000e+00 -1.931e-11 -4.854e-11  5.224e-11
 12  44  6.000e-01  2.200e+00 -1.932e-11 -4.155e-11  4.583e-11
 12  48  6.000e-01  2.400e+00 -1.888e-11 -3.467e-11  3.947e-11
 12  52  6.000e-01  2.600e+00 -1.801e-11 -2.805e-11  3.333e-11
 12  56  6.000e-01  2.800e+00 -1.679e-11 -2.184e-11  2.755e-11
 12  60  6.000e-01  3.000e+00 -1.528e-11 -1.617e-11  2.224e-11
 12  64  6.000e-01  3.200e+00 -1.355e-11 -1.112e-11  1.753e-11
 12  68  6.000e-01  3.400e+00 -1.169e-11 -6.762e-12  1.351e-11
 12  72  6.000e-01  3.600e+00 -9.784e-12 -3.108e-12  1.027e-11
 12  76  6.000e-01  3.800e+00 -7.889e-12 -1.598e-13  7.891e-12
 12  80  6.000e-01  4.000e+00 -6.065e-12  2.110e-12  6.422e-12
 12  84  6.000e-01  4.200e+00 -4.356e-12  3.744e-12  5.743e-12
 12  88  6.000e-01  4.400e+00 -2.793e-12  4.797e-12  5.551e-12
 12  92  6.000e-01  4.600e+00 -1.398e-12  5.332e-12  5.512e-12
 12  96  6.000e-01  4.800e+00 -1.832e-13  5.417e-12  5.420e-12
 12 100  6.000e-01  5.000e+00  8.449e-13  5.117e-12  5.187e-12
 12 104  6.000e-01  5.200e+00  1.685e-12  4.502e-12  4.807e-12
 12 108  6.000e-01  5.400e+00  2.339e-12  3.635e-12  4.323e-12
 12 112  6.000e-01  5.600e+00  2.810e-12  2.582e-12  3.816e-12
 12 116  6.000e-01  5.800e+00  3.100e-12  1.402e-12  3.403e-12
 12 120  6.000e-01  6.000e+00  3.212e-12  0.000e+00  3.212e-12

 16   0  8.000e-01  0.000e+00 -0.000e+00 -9.401e-11  9.401e-11
 16   4  8.000e-01  2.000e-01 -3.733e-12 -9.347e-11  9.354e-11
 16   8  8.000e-01  4.000e-01 -7.415e-12 -9.195e-11  9.225e-11
 16  12  8.000e-01  6.000e-01 -1.099e-11 -8.943e-11  9.010e-11
 16  16  8.000e-01  8.000e-01 -1.439e-11 -8.593e-11  8.713e-11
 16  20  8.000e-01  1.000e+00 -1.754e-11 -8.150e-11  8.337e-11
 16  24  8.000e-01  1.200e+00 -2.035e-11 -7.621e-11  7.888e-11
 16  28  8.000e-01  1.400e+00 -2.274e-11 -7.015e-11  7.374e-11
 16  32  8.000e-01  1.600e+00 -2.462e-11 -6.345e-11  6.806e-11
 16  36  8.000e-01  1.800e+00 -2.590e-11 -5.628e-11  6.196e-11
 16  40  8.000e-01  2.000e+00 -2.655e-11 -4.882e-11  5.558e-11
 16  44  8.000e-01  2.200e+00 -2.655e-11 -4.128e-11  4.908e-11
 16  48  8.000e-01  2.400e+00 -2.590e-11 -3.386e-11  4.263e-11
 16  52  8.000e-01  2.600e+00 -2.466e-11 -2.677e-11  3.640e-11
 16  56  8.000e-01  2.800e+00 -2.291e-11 -2.017e-11  3.053e-11
 16  60  8.000e-01  3.000e+00 -2.076e-11 -1.421e-11  2.516e-11
 16  64  8.000e-01  3.200e+00 -1.833e-11 -8.964e-12  2.040e-11
 16  68  8.000e-01  3.400e+00 -1.573e-11 -4.501e-12  1.636e-11
 16  72  8.000e-01  3.600e+00 -1.307e-11 -8.327e-13  1.310e-11
 16  76  8.000e-01  3.800e+00 -1.045e-11  2.056e-12  1.065e-11
 16  80  8.000e-01  4.000e+00 -7.941e-12  4.207e-12  8.987e-12
 16  84  8.000e-01  4.200e+00 -5.604e-12  5.679e-12  7.979e-12
 16  88  8.000e-01  4.400e+00 -3.480e-12  6.540e-12  7.408e-12
 16  92  8.000e-01  4.600e+00 -1.593e-12  6.866e-12  7.048e-12
 16  96  8.000e-01  4.800e+00  4.122e-14  6.730e-12  6.731e-12
 16 100  8.000e-01  5.000e+00  1.419e-12  6.209e-12  6.369e-12
